Commodity.Code,Commodity
1_24_Total_excl_fish,Food and agricultural commodities in chapters 01-24 of the HS excluding chapter 03 - Fish
29_38_Chemicals,"Chemicals produced as a part of agricultural production processes and used on food industry or medicine - selected HS codes from chapters 29 - 38 according to the WTO Agreement on Agriculture, Annex 2"
41_43_Skins,"Raw animal skins - selected HS codes from chapters 41 - 43 according to the WTO Agreement on Agriculture, Annex 2"
50_Silk,"Silk - selected HS codes from chapter 50 according to the WTO Agreement on Agriculture, Annex 2"
51_Wool,"Wool - selected HS codes from chapter 51 according to the WTO Agreement on Agriculture, Annex 2"
52_Cotton,"Cotton - selected HS codes from chapter 51 according to the WTO Agreement on Agriculture, Annex 2"
53_Fibers,"Fibers - selected HS codes from chapter 51 according to the WTO Agreement on Agriculture, Annex 2"
29_53_AgriGoods,"Agriculture related commodities covered by chapters 29 - 53 according to the WTO Agreement on Agriculture, Annex 2"
1_24_AgriFood,"Agriculture and food related commodities including fish covered by chapters 01 - 24 according to the WTO Agreement on Agriculture, Annex 2"
WTO_AgriFood,"Agriculture and food related commodities covered by chapters 01 - 53 according to the WTO Agreement on Agriculture, Annex 2"
