Commodity.Agg,Group
00__WTO_AgriFood_HS2,WTO Agrifood level 00
01__1_24_Total_excl_fish_HS2,WTO Agrifood level 01
01__3_Fish_HS2,WTO Agrifood level 01
01__29_38_Chemicals_HS2,WTO Agrifood level 01
01__41_43_Skins_HS2,WTO Agrifood level 01
01__50_Silk_HS2,WTO Agrifood level 01
01__51_Wool_HS2,WTO Agrifood level 01
01__52_Cotton_HS2,WTO Agrifood level 01
01__53_Fibers_HS2,WTO Agrifood level 01
02__1_5_Animal_HS2,WTO Agrifood level 02
02__3_Fish_HS2,WTO Agrifood level 02
02__6_15_Vegetable_HS2,WTO Agrifood level 02
02__16_24_Food_products_HS2,WTO Agrifood level 02
02__29_53_Other_agri_goods_HS2,WTO Agrifood level 02
03__1-3_5_Meat_fish_egg_honey_animal_HS4,WTO Agrifood level 03
03__4_Dairy_HS4,WTO Agrifood level 03
03__5_14_24-53_Tobacco_skins_fibers_other_ag_HS4,WTO Agrifood level 03
03__6-9_13_Fruts_vegetables_others_HS4,WTO Agrifood level 03
03__10_11_Cereals_flours_HS4,WTO Agrifood level 03
03__12_13_Oilseeds_HS4,WTO Agrifood level 03
03__15_Animal_veg_fats_HS4,WTO Agrifood level 03
03__16_18-23_Food_baverage_HS4,WTO Agrifood level 03
03__17_Sugar_HS4,WTO Agrifood level 03
