Commodity.Code,Commodity.Agg
01,00__WTO_AgriFood_HS2
02,00__WTO_AgriFood_HS2
03,00__WTO_AgriFood_HS2
04,00__WTO_AgriFood_HS2
05,00__WTO_AgriFood_HS2
06,00__WTO_AgriFood_HS2
07,00__WTO_AgriFood_HS2
08,00__WTO_AgriFood_HS2
09,00__WTO_AgriFood_HS2
10,00__WTO_AgriFood_HS2
11,00__WTO_AgriFood_HS2
12,00__WTO_AgriFood_HS2
13,00__WTO_AgriFood_HS2
14,00__WTO_AgriFood_HS2
15,00__WTO_AgriFood_HS2
16,00__WTO_AgriFood_HS2
17,00__WTO_AgriFood_HS2
18,00__WTO_AgriFood_HS2
19,00__WTO_AgriFood_HS2
20,00__WTO_AgriFood_HS2
21,00__WTO_AgriFood_HS2
22,00__WTO_AgriFood_HS2
23,00__WTO_AgriFood_HS2
24,00__WTO_AgriFood_HS2
290543,00__WTO_AgriFood_HS2
290544,00__WTO_AgriFood_HS2
3301,00__WTO_AgriFood_HS2
3501,00__WTO_AgriFood_HS2
3502,00__WTO_AgriFood_HS2
3503,00__WTO_AgriFood_HS2
3504,00__WTO_AgriFood_HS2
3505,00__WTO_AgriFood_HS2
3809,00__WTO_AgriFood_HS2
3823,00__WTO_AgriFood_HS2
410110,00__WTO_AgriFood_HS2
410160,00__WTO_AgriFood_HS2
4103,00__WTO_AgriFood_HS2
4301,00__WTO_AgriFood_HS2
5001,00__WTO_AgriFood_HS2
5002,00__WTO_AgriFood_HS2
5003,00__WTO_AgriFood_HS2
5101,00__WTO_AgriFood_HS2
5102,00__WTO_AgriFood_HS2
5103,00__WTO_AgriFood_HS2
5201,00__WTO_AgriFood_HS2
5202,00__WTO_AgriFood_HS2
5203,00__WTO_AgriFood_HS2
5301,00__WTO_AgriFood_HS2
5302,00__WTO_AgriFood_HS2
01,01__1_24_Total_excl_fish_HS2
02,01__1_24_Total_excl_fish_HS2
03,01__3_Fish_HS2
04,01__1_24_Total_excl_fish_HS2
05,01__1_24_Total_excl_fish_HS2
06,01__1_24_Total_excl_fish_HS2
07,01__1_24_Total_excl_fish_HS2
08,01__1_24_Total_excl_fish_HS2
09,01__1_24_Total_excl_fish_HS2
10,01__1_24_Total_excl_fish_HS2
11,01__1_24_Total_excl_fish_HS2
12,01__1_24_Total_excl_fish_HS2
13,01__1_24_Total_excl_fish_HS2
14,01__1_24_Total_excl_fish_HS2
15,01__1_24_Total_excl_fish_HS2
16,01__1_24_Total_excl_fish_HS2
17,01__1_24_Total_excl_fish_HS2
18,01__1_24_Total_excl_fish_HS2
19,01__1_24_Total_excl_fish_HS2
20,01__1_24_Total_excl_fish_HS2
21,01__1_24_Total_excl_fish_HS2
22,01__1_24_Total_excl_fish_HS2
23,01__1_24_Total_excl_fish_HS2
24,01__1_24_Total_excl_fish_HS2
290543,01__29_38_Chemicals_HS2
290544,01__29_38_Chemicals_HS2
3301,01__29_38_Chemicals_HS2
3501,01__29_38_Chemicals_HS2
3502,01__29_38_Chemicals_HS2
3503,01__29_38_Chemicals_HS2
3504,01__29_38_Chemicals_HS2
3505,01__29_38_Chemicals_HS2
3809,01__29_38_Chemicals_HS2
3823,01__29_38_Chemicals_HS2
410110,01__41_43_Skins_HS2
410160,01__41_43_Skins_HS2
4103,01__41_43_Skins_HS2
4301,01__41_43_Skins_HS2
