Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,FSR,FSR_EEU,FSR_EU,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103,,,,,,,,,,,
4,Afghanistan,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
8,Albania,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
12,Algeria,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
16,American Samoa,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
20,Andorra,ODCs,Manual,Others,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
24,Angola,LDC,UN WESP,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
660,Anguilla,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
10,Antarctica,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
28,Antigua and Barbuda,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther,,,,,,,,,,,
899,"Areas, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
32,Argentina,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
51,Armenia,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,FSR,EEU,FSR,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
533,Aruba,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
36,Australia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
40,Austria,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
31,Azerbaijan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
44,Bahamas,ODCs,Manual,High-income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
48,Bahrain,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
50,Bangladesh,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
52,Barbados,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
112,Belarus,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,EEU,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
56,Belgium,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
58,Belgium-Luxembourg,ODCs,Manual,High-income,UN WESP,Developed economies,OK,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
