Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103
2,Afghanistan,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
3,Albania,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup
4,Algeria,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
5,American Samoa,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
6,Andorra,ODCs,Manual,Others,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
7,Angola,LDC,UN WESP,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
258,Anguilla,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
30,Antarctica,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
8,Antigua and Barbuda,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroupOther
9,Argentina,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
1,Armenia,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroup
22,Aruba,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
10,Australia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
11,Austria,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
52,Azerbaijan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
12,Bahamas,ODCs,Manual,High-income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
13,Bahrain,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
16,Bangladesh,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
14,Barbados,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
57,Belarus,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
255,Belgium,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
15,Belgium-Luxembourg,ODCs,Manual,High-income,UN WESP,Developed economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
23,Belize,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
53,Benin,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
17,Bermuda,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
18,Bhutan,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
19,Bolivia (Plurinational State of),ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
80,Bosnia and Herzegovina,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
20,Botswana,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
31,Bouvet Island,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
24,British Indian Ocean Territory,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
239,British Virgin Islands,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
21,Brazil,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
26,Brunei Darussalam,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
27,Bulgaria,ODCs,Manual,Upper middle income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
233,Burkina Faso,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
29,Burundi,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
35,Cabo Verde,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup
115,Cambodia,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
32,Cameroon,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
33,Canada,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
36,Cayman Islands,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
37,Central African Republic,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
39,Chad,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
40,Chile,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
41,"China, mainland",ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,G33,nonLIFDC,newGroup,oldGroup
96,"China, Hong Kong SAR",ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
128,"China, Macao SAR",ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
42,Christmas Island,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
43,Cocos (Keeling) Islands,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
44,Colombia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
45,Comoros,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
46,Congo,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
47,Cook Islands,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
48,Costa Rica,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
107,Côte d'Ivoire,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
98,Croatia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
